ID_Prot;Organism
A1ZAX0;Drosophila
Q03372;Drosophila
Q9W138;Drosophila
P51905;Drosophila
Q9VPH2;Drosophila
Q9VWH4;Drosophila
Q9I7K0;Drosophila
Q9I7K5;Drosophila
Q9I7K6;Drosophila
Q9VXB3;Drosophila
Q9VAN0;Drosophila
P52905;Drosophila
P49858;Drosophila
P55162;Drosophila
Q9V576;Drosophila
Q7KKH3;Drosophila
Q9NJG9;Drosophila
Q967D7;Drosophila
Q9V8I2;Drosophila
Q9VD51;Drosophila
Q9VQP9;Drosophila
Q9W4S9;Drosophila
P06002;Drosophila
Q4V645;Drosophila
Q9W4S7;Drosophila
P17644;Drosophila
Q9W4S1;Drosophila
A1ZB86;Drosophila
Q7KRW1;Drosophila
P84029;Drosophila
P83740;Drosophila
Q9VUL1;Drosophila
Q7KRW8;Drosophila
Q08012;Drosophila
Q9VUL9;Drosophila
Q24292;Drosophila
Q9VJI9;Drosophila
Q24297;Drosophila
Q6AWJ9;Drosophila
P32392;Drosophila
Q24298;Drosophila
Q9V719;Drosophila
P52168;Drosophila
Q94920;Drosophila
P35600;Drosophila
Q9VSB9;Drosophila
P08266;Drosophila
P09040;Drosophila
P10041;Drosophila
Q9W0K7;Drosophila
O17444;Drosophila
P34739;Drosophila
P30974;Drosophila
Q8SX68;Drosophila
Q9VN14;Drosophila
Q9VN12;Drosophila
Q9NFT9;Drosophila
Q9V3W6;Drosophila
Q9V3W0;Drosophila
Q9VPN2;Drosophila
Q9BIS2;Drosophila
Q8MLL3;Drosophila
Q07327;Drosophila
P46222;Drosophila
P46223;Drosophila
Q4V5I9;Drosophila
